AreaCode,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
2,Afghanistan,6600,Country area,5110,Area,1000 ha,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286
2,Afghanistan,6601,Land area,5110,Area,1000 ha,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286,65286
2,Afghanistan,6602,Agriculture,5110,Area,1000 ha,38040,38030,38030,37934,37813,37753,37752,37790,37867,37753,37753,37753,37753,37910,37911,37910,37910,37910,37910,37910,37911,37910,37910,37910,37910,37910,37910,37910,37919
2,Afghanistan,6610,Agricultural land,5110,Area,1000 ha,38040,38030,38030,37934,37813,37753,37752,37790,37867,37753,37753,37753,37753,37910,37911,37910,37910,37910,37910,37910,37911,37910,37910,37910,37910,37910,37910,37910,37919
2,Afghanistan,6620,Cropland,5110,Area,1000 ha,8040,8030,8030,7934,7813,7753,7752,7790,7867,7753,7753,7753,7753,7910,7911,7910,7910,7910,7910,7910,7911,7910,7910,7910,7910,7910,7910,7910,7919
2,Afghanistan,6621,Arable land,5110,Area,1000 ha,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7793,7791,7790,7785,7771,7765,7729,7699,7703
2,Afghanistan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,2502,2111,3761,2934,3385,3529,3531,3224,3469,3481,3081,3454,3491,3485,3355,3419,2872,2209
2,Afghanistan,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,5181,5567,4011,4882,4420,4265,4263,4570,4324,4312,4710,4336,4294,4286,4410,4310,4827,5494
2,Afghanistan,6650,Land under permanent crops,5110,Area,1000 ha,130,120,120,110,110,100,105,105,110,100,70,70,75,138,95,105,116,116,116,117,118,119,120,125,139,145,181,211,216
2,Afghanistan,6655,Land under perm. meadows and pastures,5110,Area,1000 ha,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
2,Afghanistan,6659,Perm. meadows & pastures - Nat. growing,5110,Area,1000 ha,,,,,,,,,,,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
2,Afghanistan,6646,Forest land,5110,Area,1000 ha,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
2,Afghanistan,6717,Naturally regenerating forest,5110,Area,1000 ha,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
2,Afghanistan,6716,Planted Forest,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Afghanistan,6670,Other land,5110,Area,1000 ha,26037.56,26047.56,26047.56,26143.56,26264.56,26324.56,26325.56,26287.56,26210.56,26324.56,26324.56,26324.56,26324.56,26167.56,26166.56,26167.56,26167.56,26167.56,26167.56,26167.56,26166.56,26167.56,26167.56,26167.56,26167.56,26167.56,26167.56,26167.56,26158.56
2,Afghanistan,6690,Land area equipped for irrigation,5110,Area,1000 ha,2900,3000,3100,3199,3199,3199,3199,3199,3200,3200,3200,3200,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208
2,Afghanistan,6616,Land area actually irrigated,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,1836,1896,2044,2072,2092,2177,2165,,,
2,Afghanistan,6611,Agriculture area actually irrigated,5110,Area,1000 ha,,,,,,,,,,,,2140,1745,2752,2086,2214,2307,2252,2191,1836,1896,2044,2072,2092,2177,2165,2457,2271,1947
2,Afghanistan,6671,Agriculture area under organic agric.,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,0.02,0.04,0.06,0.06,0.06,0.06,0.06,,0.081,0.4,0.2718,0.786
2,Afghanistan,6672,Agriculture area certified organic,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,0.04,0.04,0.04,0.04,,0.081,0.39,0.2509,0.786
2,Afghanistan,6714,Primary Forest,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Albania,6600,Country area,5110,Area,1000 ha,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875
3,Albania,6601,Land area,5110,Area,1000 ha,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
3,Albania,6602,Agriculture,5110,Area,1000 ha,1121,1127,1127,1126,1126,1127,1131,1135,1139,1145,1144,1139,1140,1121,1122,1077,1120,1119,1181,1201.3,1201.3,1201,1201.3,1188.309,1175.375,1175.544,1183.1,1170.761,1176.081
3,Albania,6610,Agricultural land,5110,Area,1000 ha,1121,1127,1127,1126,1126,1127,1131,1135,1139,1145,1144,1139,1140,1121,1122,1077,1120,1119,1181,1201.3,1201.3,1201,1201.3,1187.3,1174.29,1174.3,1181.7,1169.181,1174.081
3,Albania,6620,Cropland,5110,Area,1000 ha,704,703,703,702,702,702,702,700,699,699,699,699,699,699,699,659,705,698,697,696,696,696,696,696.3,696,696.1,703.5,691.1,696
3,Albania,6621,Arable land,5110,Area,1000 ha,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622,619.1,617.1,615.6,615.1,620.3,606.9,611.346
